name,score
Soul Blade,Great
Hi-Octane,Okay
Star Wars: Shadows of the Empire,Okay
Wayne Gretzky's 3D Hockey,Good
Killer Instinct Gold,Okay
Spot Goes to Hollywood,Awful
Space Hulk: Vengeance of the Blood Angels,Okay
Tekken,Good
VR Soccer '96,Good
Top Gun: Fire At Will,Awful
World Cup Golf: Professional Edition,Mediocre
Tobal No. 1,Great
Twisted Metal [1996],Good
WipEout XL,Amazing
Doraemon Nobita & The 3 Fairy Spirit Stones,Awful
Xevious 3D/G+,Great
Thunder Truck Rally,Good
NBA Hang Time,Bad
All-Star Baseball '97 Featuring Frank Thomas,Mediocre
War Gods,Bad
Broken Helix,Okay
Codename: Tenka,Good
War Gods,Bad
Hexen,Mediocre
Descent Maximum,Good
The City of Lost Children,Mediocre
Wing Commander IV: The Price of Freedom,Bad
Overblood,Okay
Wild ARMs,Great
Rage Racer,Good
Star Fox 64,Great
Swagman,Mediocre
Grand Slam,Okay
Triple Play '98,Amazing
Norse By Norse West: The Return of the Lost Vikings,Okay
Tail of the Sun,Good
Goal Storm '97,Okay
Sentient [1997],Mediocre
Psychic Force,Mediocre
NHL Powerplay '98,Good
Madden NFL '98,Good
The Lost World: Jurassic Park,Mediocre
NFL GameDay 98,Great
GoldenEye 007,Amazing
Ace Combat 2,Amazing
Warcraft II: The Dark Saga,Good
Machine Hunter,Mediocre
Tetrisphere,Great
Ogre Battle,Okay
Porsche Challenge,Great
NCAA Football '98,Good
Lethal Enforcers I & II,Bad
VMX Racing,Mediocre
Duke Nukem 64,Great
NBA Live '98,Great
Jet Moto 2,Good
Cool Boarders 2,Good
Time Crisis,Great
Maximum Force,Mediocre
Treasures of the Deep,Great
Discworld II: Mortality Bytes!,Okay
Nuclear Strike,Good
NHL FaceOff '98,Great
NASCAR 98,Great
MLB '98,Great
Herc's Adventures,Okay
Namco Museum Vol. 4,Okay
Syndicate Wars,Mediocre
Dark Rift,Mediocre
Hercules,Okay
Battlesport,Okay
Darklight Conflict,Good
Dynasty Warriors,Good
F1 Pole Position 64,Bad
Madden Football 64,Good
1080° Snowboarding,Great
San Francisco Rush: Extreme Racing,Mediocre
Judge Dredd,Painful
Tennis Arena,Mediocre
Rampage: World Tour,Bad
Pitfall 3D,Good
San Francisco Rush: Extreme Racing,Great
Dragon Ball GT Final Bout,Awful
Mass Destruction,Good
Need for Speed: V-Rally,Great
Caesars Palace,Okay
Crash Bandicoot 2: Cortex Strikes Back,Great
Colony Wars,Amazing
Frogger,Painful
Moto Racer,Good
Jeopardy! [1998],Awful
NCAA March Madness '98,Okay
Shadow Master,Bad
Oddworld: Abe's Oddysee,Good
NHL '98,Great
Poy Poy,Great
Bottom of the 9th '97,Okay
Magic: The Gathering -- Battlemage,Bad
Steel Reign,Good
Tecmo Stackers,Good
Multi Racing Championship,Okay
RayStorm,Good
Hexen,Awful
Battle Arena Toshinden 3,Okay
WCW vs. NWO: World Tour,Good
Spawn: The Eternal,Painful
Mortal Kombat Mythologies: Sub-Zero,Awful
Wheel of Fortune [1997],Okay
Bug Riders,Awful
Automobili Lamborghini,Good
Excalibur 2555 AD,Awful
Armored Core,Great
ClayFighter 63 1/3,Awful
Persona,Good
Golden Nugget,Okay
Bushido Blade,Great
Diablo,Good
Dead or Alive,Great
Speed Racer,Mediocre
Lode Runner: The Legend Returns,Okay
Saga Frontier,Good
Rascal,Painful
Quake,Great
ReBoot,Good
Snowboard Kids,Great
Test Drive 4,Good
Fighting Force,Mediocre
Jimmy Johnson's VR Football 98,Bad
Reel Fishing,Okay
Shipwreckers!,Okay
Command & Conquer: Red Alert,Great
Rampage: World Tour,Mediocre
Street Fighter EX Plus Alpha,Great
Nightmare Creatures,Good
NBA In the Zone '98,Bad
Nagano Winter Olympics '98,Bad
Skullmonkeys,Okay
Nagano Winter Olympics '98,Awful
NBA in the Zone '98,Great
Fighters Destiny,Great
NHL Breakaway '98,Good
Felony 11-79,Good
Arcade's Greatest Hits: The Atari Collection 1,Good
Tiger Shark,Okay
Final Fantasy VII,Amazing
International Superstar Soccer 64,Amazing
K-1 The Arena Fighters,Bad
The Incredible Hulk: The Pantheon Saga,Mediocre
Duke Nukem: Total Meltdown,Good
Bomberman 64,Good
Vs.,Bad
AeroFighters Assault,Mediocre
Ghost in the Shell,Great
Arcade's Greatest Hits: The Midway Collection 2,Good
Namco Museum Vol. 5,Okay
Tomb Raider II Starring Lara Croft,Great
Diddy Kong Racing,Great
G-Police,Great
Clock Tower,Mediocre
CART World Series,Good
Bravo Air Race,Bad
WCW vs. The World,Okay
Mace: The Dark Age,Good
Top Gear Rally,Great
NBA ShootOut '98,Great
Yoshi's Story,Good
Klonoa: Door to Phantomile,Great
Ray Tracers,Good
Triple Play '99,Good
Bloody Roar,Great
X-Men: Children of the Atom,Awful
SimCity 2000,Awful
Extreme-G,Good
NFL Quarterback Club '98,Good
Final Fantasy Tactics,Great
Monopoly [1998],Awful
Auto Destruct,Okay
Resident Evil 2 [1998],Amazing
Riven: The Sequel to Myst,Good
WCW Nitro,Good
Beast Wars: Transformers,Painful
Red Asphalt,Mediocre
Micro Machines V3,Great
BallBlazer Champions,Okay
Fantastic Four,Unbearable
FIFA Road to World Cup 98,Great
NCAA GameBreaker '98,Great
MDK,Great
NBA Fastbreak '98,Bad
Star Wars: Masters of Teras Kasi,Bad
Courier Crisis,Awful
Monster Rancher,Amazing
Castlevania: Symphony of the Night,Amazing
Mischief Makers,Okay
Croc: Legend of the Gobbos,Great
Formula 1: Championship Edition,Amazing
Mortal Kombat Mythologies: Sub-Zero,Awful
Mega Man X4,Good
PGA Tour '98,Good
Resident Evil: Director's Cut,Great
Marvel Super Heroes,Good
NHL Breakaway '98,Good
Wayne Gretzky's 3D Hockey '98,Mediocre
Alundra,Great
Robotron 64,Okay
Puyo Puyo Sun64,Good
FIFA Road to World Cup 98,Good
Street Fighter Collection,Good
Chameleon Twist,Okay
One,Mediocre
Parappa The Rapper,Amazing
Critical Depth,Mediocre
Intelligent Qube,Great
Car and Driver Presents Grand Tour Racing 98,Okay
Jersey Devil,Mediocre
Wetrix,Great
Soviet Strike,Great
X-Men vs. Street Fighter,Okay
Quest 64,Mediocre
Road Rash 3D,Mediocre
Vigilante 8,Great
Forsaken 64,Great
Major League Baseball Featuring Ken Griffey Jr.,Good
All-Star Baseball '99,Great
Bust-A-Move 2 Arcade Edition,Great
Aero Gauge,Mediocre
Bio F.R.E.A.K.S.,Okay
Bio F.R.E.A.K.S.,Okay
World Cup 98,Great
Breath of Fire III,Good
Hot Shots Golf,Great
Kobe Bryant in NBA Courtside,Good
Mystical Ninja Starring Goemon,Good
Theme Hospital,Good
MLB '99,Good
Blasto,Mediocre
Newman Haas Racing,Great
Point Blank,Great
Deathtrap Dungeon,Mediocre
SWAT 2,Good
Batman & Robin,Mediocre
SEGA Touring Car Championship,Mediocre
Fox Sports Golf '99,Okay
Army Men,Bad
Revenge of Arcade,Okay
Dominion:  Storm Over Gift 3,Bad
Addiction Pinball,Great
F-1 World Grand Prix,Great
Mission: Impossible,Okay
World Cup 98,Great
NFL Xtreme,Mediocre
Granstream Saga,Okay
Forsaken,Great
Grand Theft Auto,Okay
Crime Killer,Mediocre
Off-Road Challenge,Painful
Banjo-Kazooie,Amazing
Mortal Kombat 4,Great
Mortal Kombat 4,Great
Jeremy McGrath Supercross '98,Mediocre
N2O: Nitrous Oxide,Great
Chopper Attack,Mediocre
C: The Contra Adventure,Unbearable
Dune 2000,Mediocre
Future Cop: L.A.P.D.,Great
M.A.X. 2,Awful
Mega Man Legends,Great
Parasite Eve,Good
MechCommander,Good
Pro Bass Fishing,Painful
WarGames,Good
Triple Play '99,Mediocre
High Heat Baseball 1999,Good
Flesh Feast,Mediocre
Grim Fandango,Amazing
Rally Cross 2,Good
Return Fire II,Good
Hedz,Okay
Mike Piazza's StrikeZone,Awful
Virtual Chess 64,Good
Metal Gear Solid,Amazing
NASCAR 99,Good
Kagero: Deception II,Great
Red Jack: Revenge of the Brethren,Good
Xenogears,Amazing
Deadly Arts,Awful
GT 64 Championship Edition,Awful
NFL Blitz [1998],Amazing
NFL Blitz [1998],Amazing
NCAA Football '99,Good
Gex 64: Enter the Gecko,Mediocre
Incoming,Good
Deathtrap Dungeon,Bad
HardBall 6,Okay
Forsaken,Great
Urban Assault,Okay
Warhammer: Dark Omen,Good
Panzer Commander,Good
Bio F.R.E.A.K.S.,Bad
Icarus: Sanctuary of the Gods,Bad
Rosco McQueen: Firefighter Extreme,Bad
Cool Boarders 3,Okay
Trespasser,Bad
NCAA GameBreaker '99,Great
Extreme PaintBrawl,Disaster
Bushido Blade 2,Good
Front Office Football,Great
NHL '99,Amazing
F-Zero X,Amazing
Armored Core: Project Phantasma,Good
Quake II Mission Pack: Ground Zero,Good
Star Trek: The Next Generation: Klingon Honor Guard,Good
Team Losi RC Racer,Mediocre
Duke Nukem: Time to Kill,Great
Knights and Merchants: The Shattered Kingdom,Mediocre
Iggy's Reckin' Balls,Okay
Independence War,Great
Spyro the Dragon,Amazing
Tom Clancy's Rainbow Six,Amazing
Command & Conquer: Red Alert Retaliation,Good
Heart of Darkness,Good
NFL GameDay 99,Okay
Pro-Pinball: Timeshock!,Mediocre
Motocross Madness [1998],Great
Sanitarium,Good
Peter Jacobsen's Golden Tee Golf,Good
Ultim@te Race Pro,Good
Nam,Awful
Unreal,Amazing
Final Fantasy VII,Great
